TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
sqlancer.doris.ast.DorisOrderByTerm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.databend.ast.DatabendBinaryOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.mysql.MySQLToStringVisitor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7605223736291954,677,498
sqlancer.postgres.PostgresBugs,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2,0
sqlancer.questdb.test.QuestDBQueryPartitioningWhereTester,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6513157894736842,51,12
sqlancer.materialize.MaterializeCompoundDataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7989583333333333,67,52
sqlancer.yugabyte.ycql.ast.YCQLBinaryOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
sqlancer.common.oracle.PivotedQuerySynthesisBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.093503256003256,188,15
sqlancer.sqlite3.gen.ddl.SQLite3DropIndexGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.07211538461538461,43,4
sqlancer.postgres.ast.PostgresColumnReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
sqlancer.DatabendDorisPrestoConstant,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7922619047619048,84,60
sqlancer.sqlite3.ast.SQLite3CollateOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9417613636363636,52,48
sqlancer.tidb.ast.TiDBBinaryComparisonOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7797619047619048,19,16
sqlancer.yugabyte.ysql.oracle.tlp.YSQLTLPHavingOracle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40341191066997517,105,34
sqlancer.common.schema.AbstractTableColumn,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,159,0
sqlancer.sqlite3.gen.ddl.SQLite3TableGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13955555555555554,461,20
sqlancer.doris.oracle.tlp.DorisQueryPartitioningBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5088763949229066,118,37
sqlancer.common.ast.newast.NewBinaryOperatorNode,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9017857142857143,40,37
sqlancer.yugabyte.ysql.ast.YSQLBinaryBitOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.765625,26,22
sqlancer.cockroachdb.gen.CockroachDBRandomQuerySynthesizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15831501831501832,124,12
sqlancer.duckdb.DuckDBBugs,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2,0
sqlancer.mariadb.gen.MariaDBCommon,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7232142857142857,21,10
sqlancer.databend.ast.DatabendJoin,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6558368714618714,200,126
sqlancer.duckdb.ast.DuckDBSelect,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8598484848484849,58,48
sqlancer.yugabyte.ysql.gen.YSQLDiscardGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.29583333333333334,24,5
sqlancer.postgres.gen.PostgresDropIndexGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.59375,15,5
sqlancer.oceanbase.ast.OceanBaseExists,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,50,48
sqlancer.cnosdb.ast.CnosDBLikeOperation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,22,19
sqlancer.common.gen.AbstractUpdateGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3375,43,5
sqlancer.materialize.gen.MaterializeViewGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.29953703703703705,101,31
sqlancer.cockroachdb.gen.CockroachDBDropTableGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.07083333333333333,63,4
sqlancer.tidb.gen.TiDBDropTableGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0763888888888889,46,4
sqlancer.hsqldb.HSQLDBOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4583333333333333,19,6
sqlancer.common.ast.newast.NewOrderingTerm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,27,27
sqlancer.tidb.TiDBOracleFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7997474747474748,55,34
sqlancer.sqlite3.gen.ddl.SQLite3IndexGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2059504357298475,181,12
sqlancer.cockroachdb.gen.CockroachDBExpressionGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4783791316175004,1283,504
sqlancer.questdb.test.QuestDBQueryPartitioningBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6270833333333333,62,33
sqlancer.mariadb.ast.MariaDBFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9625,28,25
sqlancer.mysql.gen.datadef.MySQLIndexGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2985360079983194,267,36
sqlancer.oceanbase.ast.OceanBaseComputableFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7385999983009829,516,450
sqlancer.cockroachdb.gen.CockroachDBDropViewGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4620535714285714,82,44
sqlancer.presto.ast.PrestoTableReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
